model,official_split_R2,official_split_MSE,plain_kfold_cv_R2_mean,plain_kfold_cv_R2_std,plain_kfold_cv_MSE_mean,plain_kfold_cv_MSE_std,pgts_embargo10_R2_mean,pgts_embargo10_R2_std,pgts_embargo10_MSE_mean,pgts_embargo10_MSE_std,pgts_embargo0_R2_mean,pgts_embargo0_R2_std,pgts_embargo0_MSE_mean,pgts_embargo0_MSE_std
XGBoost,0.6776429414749146,245.18881225585932,0.8580583691596985,0.00798732705340351,246.33721923828125,12.546741764285073,0.841992974281311,0.039015846181206626,273.1913238525391,66.05183862240169,0.8413395762443543,0.03869846564781609,274.3181182861328,65.45933462764488
MLP,0.6774730302434118,245.3180574424524,0.8603722299924812,0.007178690861880421,242.33927192232846,11.48309779226799,0.8450013318251803,0.03723184734312354,268.00340148611275,63.015464301393344,0.8463637677105222,0.0366333443100813,265.66366839515524,62.07668165297891
CatBoost,0.6759185048591588,246.50044894229416,0.8608324842044031,0.00737490685286797,241.5230366225447,11.409921191402084,0.8416849745567635,0.04036994989498777,273.70146142572327,68.33251926416403,0.8420373458539077,0.04098784792044162,273.0814369668079,69.37543924153343
LightGBM,0.6753702641928014,246.9174476676512,0.8586416864618925,0.00830376157800375,245.31308407911857,12.877359502924662,0.8401803133430381,0.03948717803739258,276.3170054217344,66.80940596425842,0.8403100207443484,0.039719015190082675,276.08956525314954,67.19844974377183
NULL_BASELINE_mean_RUL,-0.641577402225272,1248.6043562783482,,,,,-0.005986830743605865,0.007970798371540107,1741.4109207122856,22.18591661330749,-0.005997990521603036,0.007922114975325516,1741.4283137456666,21.980570781526623
