outer_fold,best_alpha,inner_cv_best_score_neg_mse
1,100.0,-263.9269881165513
2,100.0,-263.21888783629583
3,100.0,-277.64054926205154
4,100.0,-254.84316985915748
5,100.0,-268.55585713839645
