group1,group2,z,p_raw,p_holm,reject
LightGBM,CatBoost,-0.4121678698554472,0.6802163854981262,1.0,False
LightGBM,GradientBoosting,0.3037026409461183,0.761354445802197,1.0,False
LightGBM,XGBoost,0.13015827469119323,0.8964412056590134,1.0,False
LightGBM,SVM,1.974067166149771,0.04837410618234239,1.0,False
LightGBM,KNN,1.692057570985518,0.09063499723426971,1.0,False
LightGBM,LinearRegression,3.210570775716111,0.0013247164198080252,0.051663940372512984,False
LightGBM,Ridge,3.1671846841523803,0.0015392253167010317,0.05695133671793817,False
LightGBM,BayesianRidge,3.1888777299342457,0.0014282627501185363,0.05427398450450438,False
LightGBM,MLP,-0.3470887325098502,0.7285246581037492,1.0,False
CatBoost,GradientBoosting,0.7158705108015655,0.4740713087510495,1.0,False
CatBoost,XGBoost,0.5423261445466404,0.5875938479556577,1.0,False
CatBoost,SVM,2.3862350360052185,0.017021868420106445,0.5106560526031934,False
CatBoost,KNN,2.104225440840965,0.03535878631870926,0.9900460169238592,False
CatBoost,LinearRegression,3.622738645571559,0.0002915003139309924,0.013117514126894658,True
CatBoost,Ridge,3.579352554007827,0.0003444465243773731,0.014811200548227044,True
CatBoost,BayesianRidge,3.601045599789693,0.000316939976795938,0.013945358979021272,True
CatBoost,MLP,0.065079137345597,0.948110991199808,1.0,False
GradientBoosting,XGBoost,-0.1735443662549251,0.8622235576728245,1.0,False
GradientBoosting,SVM,1.6703645252036528,0.0948472639005884,1.0,False
GradientBoosting,KNN,1.3883549300393996,0.16502899328410314,1.0,False
GradientBoosting,LinearRegression,2.9068681347699927,0.0036506705516876625,0.12047212820569286,False
GradientBoosting,Ridge,2.863482043206262,0.004190125634546016,0.1298938946709265,False
GradientBoosting,BayesianRidge,2.8851750889881274,0.003911960292735772,0.1251827293675447,False
GradientBoosting,MLP,-0.6507913734559685,0.5151811696121633,1.0,False
XGBoost,SVM,1.843908891458578,0.06519641907813001,1.0,False
XGBoost,KNN,1.5618992962943248,0.11831171429912546,1.0,False
XGBoost,LinearRegression,3.080412501024918,0.0020671408241876854,0.07441706967075667,False
XGBoost,Ridge,3.0370264094611867,0.0023892452172744605,0.08123433738733166,False
XGBoost,BayesianRidge,3.0587194552430526,0.002222852046052992,0.07779982161185472,False
XGBoost,MLP,-0.47724700720104346,0.6331862415023954,1.0,False
SVM,KNN,-0.28200959516425317,0.7779361529163793,1.0,False
SVM,LinearRegression,1.23650360956634,0.21627142484749307,1.0,False
SVM,Ridge,1.193117518002609,0.2328233516916538,1.0,False
SVM,BayesianRidge,1.2148105637844746,0.2244383508669956,1.0,False
SVM,MLP,-2.3211558986596215,0.020278431394924468,0.5880745104528096,False
KNN,LinearRegression,1.5185132047305931,0.12888507323288945,1.0,False
KNN,Ridge,1.4751271131668622,0.14017837232552455,1.0,False
KNN,BayesianRidge,1.4968201589487278,0.1344400594109385,1.0,False
KNN,MLP,-2.039146303495368,0.04143542812660672,1.0,False
LinearRegression,Ridge,-0.043386091563731174,0.9653937645863278,1.0,False
LinearRegression,BayesianRidge,-0.021693045781865636,0.9826928111310829,1.0,False
LinearRegression,MLP,-3.557659508225962,0.0003741738918245918,0.015715303456632856,True
Ridge,BayesianRidge,0.021693045781865542,0.9826928111310829,1.0,False
Ridge,MLP,-3.5142734166622307,0.00044095868334959043,0.017638347333983617,True
BayesianRidge,MLP,-3.535966462444096,0.0004062862687173041,0.01665773701740947,True
