outer_fold,n_train_rows,n_test_rows,R2,MSE,MAE,PHM08_RUL_Score,fit_seconds
1,16511,4120,0.8342975080754959,287.830277330486,12.22005435986151,22243.78707345717,0.045317888259887695
2,16498,4133,0.8460305578291405,267.3138950776228,11.242626982434166,21647.93093730927,0.050132036209106445
3,16505,4126,0.8773330013257881,213.02676637854097,10.111623059659934,21647.07560422995,0.049697160720825195
4,16506,4125,0.8234620946985101,306.59235884343053,12.280650654284498,34000.96815446069,0.046300411224365234
5,16504,4127,0.8565187698205534,249.16358449829247,10.453133567056247,24434.598327658794,0.06272649765014648
