variant,model,R2_mean,R2_std,MSE_mean,MSE_std,MAE_mean,MAE_std,PHM08_mean,PHM08_std,variant_wall_seconds,cross_variant_comparability_caveat
A,CatBoost,0.8474919809617075,0.022422783423725143,264.84846753557,38.951790949792944,11.237472865065746,0.9906943538071898,24216.641227755466,5226.291363598535,157.90454483032227,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
B,CatBoost,0.8474919809617075,0.022422783423725143,264.84846753557,38.951790949792944,11.237472865065746,0.9906943538071898,24216.641227755466,5226.291363598535,144.5313937664032,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
C,CatBoost,0.7130425996874681,0.03849925685673721,1365.45915186078,222.9209714612142,26.151371461907445,1.7745889763393796,3941496.874695895,5835002.152270038,132.97123956680298,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
A,LightGBM,0.8459687240833247,0.02307368805119591,267.4937619832941,40.08194005982435,11.243342681009041,1.0338768914292693,24617.82432364232,4678.825339451399,157.90454483032227,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
B,LightGBM,0.8459687240833247,0.02307368805119591,267.4937619832941,40.08194005982435,11.243342681009041,1.0338768914292693,24617.82432364232,4678.825339451399,144.5313937664032,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
C,LightGBM,0.7094365626292152,0.03701780210419976,1382.5999974530237,217.90283235134294,26.411785118616912,1.6055904209852585,5246033.146088619,7904864.399458662,132.97123956680298,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
A,XGBoost,0.8453487905031956,0.023319908906509063,268.5701594992637,40.50772211419995,11.344994584138163,1.0251046982915686,24769.001144654372,4947.550852048217,157.90454483032227,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
B,XGBoost,0.8453487905031956,0.023319908906509063,268.5701594992637,40.50772211419995,11.344994584138163,1.0251046982915686,24769.001144654372,4947.550852048217,144.5313937664032,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
C,XGBoost,0.7077464041970277,0.035658515064072305,1390.0073001298747,207.50933327332976,26.261317274173894,1.6915323090270433,4563553.0150973005,6833296.6695901705,132.97123956680298,"R2/MSE/MAE/PHM08 are only directly comparable WITHIN a cap regime (A vs A, B vs B, C vs C). Comparing across variants (e.g. A vs C) conflates model quality with a change in the RUL target's scale/skew caused by capping. Variant A and B rows are numerically identical here because this ablation only reads each variant's train.csv, and A/B share the same (capped) train-side RUL -- their only difference is test-side capping, which this train-only nested-CV ablation never sees."
