fold,LightGBM,CatBoost,GradientBoosting,XGBoost,SVM,KNN,LinearRegression,Ridge,BayesianRidge,MLP
fold_1,254.49274643194434,249.776317171536,256.9122600021532,255.04222106933594,302.2394700069126,293.83413624996757,398.3685017526838,398.2423610529316,398.2875367159115,251.05080835649022
fold_2,245.57357087516172,243.6249059050296,249.24369245086515,244.8175048828125,297.8772285450883,290.3388131984413,392.1632657364154,392.1346489458832,392.14441063866855,244.3244170218608
fold_3,247.86256842479116,241.2796348024467,250.20776257262415,248.3317413330078,321.5435075454051,302.0348220488994,402.9285322837561,402.969811087145,402.9536898111941,238.4686036809749
fold_4,223.49745871326087,222.37766752820565,225.04190679730414,225.84945678710938,292.2123549444745,267.01885156846237,391.0253634991932,390.91661389586204,390.95738119864365,224.62005735531125
fold_5,255.13907595043477,250.5566577055055,261.37649996911824,257.6451721191406,328.9548583753023,310.8630793548237,418.7433829131051,418.7964788024897,418.7761443813657,253.23247319700508
