model,top3_share_of_total_mean_abs_shap,gini_coefficient,top1_feature,top1_mean_abs_shap,top2_feature,top2_mean_abs_shap,top3_feature,top3_mean_abs_shap
XGBoost,0.5681069493293762,0.5645027160644531,cycle,12.97866439819336,sensor_11,5.901086330413818,sensor_4,3.8069779872894287
CatBoost,0.4693352700422555,0.4796629193315211,cycle,12.288561793484163,sensor_9,3.406034084704134,sensor_14,2.953348733874144
MLP,0.5262900491136264,0.5189171996377522,cycle,9.808685564464765,sensor_9,5.670293818538253,sensor_14,5.196432119641575
FixedWeighted_Ensemble,0.5206677481962674,0.5360492979609477,cycle,11.927793656858007,sensor_11,5.034882070035536,sensor_9,3.458709054511434
