model,top3_share_of_total_mean_abs_shap,gini_coefficient,top1_feature,top1_mean_abs_shap,top2_feature,top2_mean_abs_shap,top3_feature,top3_mean_abs_shap,top4_feature,top4_mean_abs_shap,top5_feature,top5_mean_abs_shap
LightGBM,0.5538028884027185,0.5543126818132561,cycle,12.153994177440653,sensor_11,5.661993463154582,sensor_4,4.127568361076467,sensor_12,2.7452343278371982,sensor_9,2.4766881768553897
CatBoost,0.46286860219306886,0.463431156799868,cycle,11.834088843896392,sensor_9,3.5560931489108056,sensor_11,2.931074663765992,sensor_7,2.408712168024933,sensor_12,2.303631185645407
XGBoost,0.5677237921695937,0.5801558367158725,cycle,14.33821910172701,sensor_11,4.681332642406225,sensor_9,2.7041777529418467,sensor_12,2.4928841317221524,sensor_7,2.3400285180807114
GradientBoosting,0.5285534948468643,0.5341304471202434,cycle,12.467392790970363,sensor_11,5.109504287211465,sensor_4,3.446707690530902,sensor_9,2.8560061463673074,sensor_12,2.706943373078168
MLP,0.49241086777180454,0.48673386044402517,cycle,9.660975763416658,sensor_14,5.077475514193682,sensor_9,4.704780226325022,sensor_11,3.2830284804400995,sensor_12,2.482010249105683
StackingEnsemble,0.4760393051911617,0.4806984122067155,cycle,11.095899099339743,sensor_9,3.6939073667984923,sensor_11,3.6272461058090353,sensor_14,3.0690527128004597,sensor_12,2.421867124688881
